Country Name,GDP
Aruba,2646927374
Afghanistan,19362642267
Angola,1.01124E+11
Albania,11861353752
Andorra,2877311947
Arab World,2.51052E+12
United Arab Emirates,3.57045E+11
Argentina,5.57531E+11
Armenia,10546135160
American Samoa,652000000
Antigua and Barbuda,1436585185
Australia,1.20885E+12
Austria,3.95228E+11
Azerbaijan,37867518957
Burundi,2959640987
Belgium,4.76057E+11
Benin,8578984066
Burkina Faso,10867024152
Bangladesh,2.21415E+11
Bulgaria,53240950226
Bahrain,32250132979
"Bahamas, The",11938400000
Bosnia and Herzegovina,16913330694
Belarus,47722657821
Belize,1775100179
Bermuda,
Bolivia,33941126194
Brazil,1.79628E+12
Barbados,4840500000
Brunei Darussalam,11400854268
Bhutan,2158972128
Botswana,15646316818
Central African Republic,1823779165
Canada,1.52671E+12
Central Europe and the Baltics,1.317E+12
Switzerland,6.71309E+11
Channel Islands,
Chile,2.5034E+11
China,1.11379E+13
Cote d'Ivoire,35296977344
Cameroon,32621535419
"Congo, Dem. Rep.",37134799975
"Congo, Rep.",9035848071
Colombia,2.82825E+11
Comoros,1012147324
Cabo Verde,1663008687
Costa Rica,57157992434
Caribbean small states,68106378710
Cuba,91370000000
Curacao,3122287933
Cayman Islands,4898908676
Cyprus,20890936462
Czech Republic,1.9509E+11
Germany,3.46679E+12
Djibouti,2618587757
Dominica,576229629.6
Denmark,3.13116E+11
Dominican Republic,75704647977
Algeria,1.60033E+11
East Asia & Pacific (excluding high income),1.34624E+13
Early-demographic dividend,1.05176E+13
East Asia & Pacific,2.24629E+13
Europe & Central Asia (excluding high income),2.96106E+12
Europe & Central Asia,2.0384E+13
Ecuador,99937696000
"Egypt, Arab Rep.",3.32928E+11
Euro area,1.19652E+13
Eritrea,
Spain,1.23208E+12
Estonia,23996451498
Ethiopia,74296618481
European Union,1.65763E+13
Fragile and conflict affected situations,7.58695E+11
Finland,2.4057E+11
Fiji,4930204220
France,2.47129E+12
Faroe Islands,2689157271
"Micronesia, Fed. Sts.",332265162.5
Gabon,14014369642
United Kingdom,2.69428E+12
Georgia,15141758567
Ghana,55009730600
Gibraltar,
Guinea,8603833218
"Gambia, The",1467255923
