Country Name,Gdp per capita
Aruba,25239.60041
Afghanistan,547.2281102
Angola,3506.072885
Albania,4124.108907
Andorra,37224.10892
Arab World,6213.785157
United Arab Emirates,38141.84676
Argentina,12790.24247
Armenia,3591.829276
American Samoa,11696.95556
Antigua and Barbuda,15197.61746
Australia,49971.13146
Austria,45237.80509
Azerbaijan,3880.738731
Burundi,282.1931304
Belgium,42012.0999
Benin,789.0849152
Burkina Faso,582.7954443
Bangladesh,1401.620628
Bulgaria,7469.455638
Bahrain,22619.11667
"Bahamas, The",31588.835
Bosnia and Herzegovina,4994.68314
Belarus,5022.626643
Belize,4818.404394
Bermuda,
Bolivia,3076.658949
Brazil,8712.887044
Barbados,16936.90604
Brunei Darussalam,27157.82341
Bhutan,2930.562988
Botswana,7243.852997
Central African Republic,401.9182384
Canada,42279.90082
Central Europe and the Baltics,12787.13536
Switzerland,80172.1933
Channel Islands,
Chile,13748.08766
China,8078.790474
Cote d'Ivoire,1481.652231
Cameroon,1363.403851
"Congo, Dem. Rep.",471.3188404
"Congo, Rep.",1814.063418
Colombia,5871.223524
Comoros,1272.193943
Cabo Verde,3130.982229
Costa Rica,11666.45591
Caribbean small states,9368.931394
Cuba,8060.795886
Curacao,19555.36585
Cayman Islands,78296.09993
Cyprus,24532.51906
Czech Republic,18463.38658
Germany,42098.92045
Djibouti,2818.376856
Dominica,8080.968623
Denmark,54663.99837
Dominican Republic,7280.873164
Algeria,3946.421445
East Asia & Pacific (excluding high income),6557.076135
Early-demographic dividend,3322.936458
East Asia & Pacific,9772.786395
Europe & Central Asia (excluding high income),7163.361164
Europe & Central Asia,22355.47156
Ecuador,6060.093329
"Egypt, Arab Rep.",3525.020165
Euro area,35128.1033
Eritrea,
Spain,26505.62433
Estonia,18237.29584
Ethiopia,717.1245929
European Union,31161.63738
Fragile and conflict affected situations,1538.027434
Finland,43777.44009
Fiji,5651.318055
France,36962.22229
Faroe Islands,55822.91472
"Micronesia, Fed. Sts.",3014.700018
Gabon,6979.709196
United Kingdom,41074.16728
Georgia,4062.169888
Ghana,1931.38947
Gibraltar,
Guinea,732.9621726
"Gambia, The",682.7180203
Guinea-Bissau,661.0076549
Equatorial Guinea,9244.051798
Greece,18116.45962
Grenada,9628.347487
Greenland,48181.87419
Guatemala,4140.589826
Guam,35562.83791
Guyana,4542.622067
High income,40791.78767
