country,score_2016
Iceland,1.192
Denmark,1.246
Austria,1.278
New Zealand,1.287
Portugal,1.356
Czech Republic,1.36
Switzerland,1.37
Canada,1.388
Japan,1.395
Slovenia,1.408
Finland,1.429
Ireland,1.433
Bhutan,1.445
Sweden,1.461
Australia,1.465
Germany,1.486
Norway,1.5
Belgium,1.528
Hungary,1.534
Singapore,1.535
Netherlands,1.541
Poland,1.557
Mauritius,1.559
Slovakia,1.603
Spain,1.604
Croatia,1.633
Chile,1.635
Botswana,1.639
Bulgaria,1.646
Malaysia,1.648
Romania,1.649
Latvia,1.68
Costa Rica,1.699
Qatar,1.716
Uruguay,1.726
Estonia,1.732
Lithuania,1.735
Madagascar,1.763
Italy,1.774
Zambia,1.783
Taiwan,1.787
Indonesia,1.799
Sierra Leone,1.805
Ghana,1.809
Malawi,1.817
France,1.829
United Kingdom,1.83
Serbia,1.834
Panama,1.837
Mongolia,1.838
Kuwait,1.842
Laos,1.852
South Korea,1.858
Albania,1.867
Namibia,1.873
Timor-Leste,1.879
Montenegro,1.884
Tanzania,1.899
Vietnam,1.906
Bosnia and Herzegovina,1.915
United Arab Emirates,1.931
Equatorial Guinea,1.94
Lesotho,1.941
Tunisia,1.949
Moldova,1.953
Togo,1.954
Argentina,1.957
Mozambique,1.963
Nicaragua,1.975
Senegal,1.978
Cyprus,1.994
Benin,1.998
Liberia,1.998
Oman,2.016
Kazakhstan,2.019
Ecuador,2.02
Kosovo,2.022
Nepal,2.026
Gabon,2.033
Paraguay,2.037
Bolivia,2.038
Greece,2.044
Bangladesh,2.045
Trinidad and Tobago,2.056
Georgia,2.057
Cuba,2.057
Peru,2.057
Burkina Faso,2.063
Haiti,2.066
Swaziland,2.074
Morocco,2.086
Gambia,2.091
Jamaica,2.091
Macedonia,2.092
Guyana,2.105
Jordan,2.127
Sri Lanka,2.133
Angola,2.14
Papua New Guinea,2.143
Dominican Republic,2.143
Uganda,2.148
Guinea,2.148
United States,2.154
Cambodia,2.161
Brazil,2.176
Belarus,2.202
Turkmenistan,2.202
Algeria,2.213
Uzbekistan,2.216
Armenia,2.218
Honduras,2.237
El Salvador,2.237
Niger,2.239
Republic of the Congo,2.249
Myanmar,2.256
Guinea-Bissau,2.264
Guatemala,2.27
Ivory Coast,2.279
Ethiopia,2.284
China,2.288
Djibouti,2.292
Tajikistan,2.293
Mauritania,2.295
Kyrgyzstan,2.294
Thailand,2.312
South Africa,2.316
Zimbabwe,2.322
Rwanda,2.323
Saudi Arabia,2.338
Cameroon,2.356
Kenya,2.379
Bahrain,2.398
Iran,2.411
Azerbaijan,2.45
Eritrea,2.46
Chad,2.464
Mali,2.489
Burundi,2.5
Philippines,2.511
Mexico,2.557
India,2.566
Egypt,2.574
Venezuela,2.651
Israel,2.656
Turkey,2.71
Lebanon,2.752
Colombia,2.764
Palestine,2.832
Nigeria,2.877
North Korea,2.944
Russia,3.079
Democratic Republic of the Congo,3.112
Pakistan,3.145
Libya,3.2
Sudan,3.269
Ukraine,3.287
Central African Republic,3.354
Yemen,3.399
Somalia,3.414
Afghanistan,3.538
Iraq,3.57
South Sudan,3.593
Syria,3.806
